"","head [cm]","age [years]"
"2635",50.5,3.48
"2636",52.6,3.48
"2637",51.3,3.48
"2638",50.2,3.48
"2639",50.3,3.48
"2640",50.2,3.49
"2641",51.7,3.49
"2642",51.5,3.5
"2643",51.5,3.52
"2644",52.5,3.52
"2645",52.5,3.54
"2646",51,3.54
"2647",50,3.54
"2648",52,3.55
"2649",51.2,3.56
"2650",53.1,3.57
"2651",49,3.58
"2652",48.5,3.58
"2653",48.8,3.6
"2654",53,3.6
"2655",54,3.63
"2656",50.3,3.65
"2657",49,3.66
"2658",49,3.68
"2659",51,3.68
"2660",51.6,3.68
"2661",51,3.7
"2662",49.7,3.7
"2663",52.1,3.7
"2664",49.7,3.71
"2665",52.9,3.71
"2666",51,3.72
"2667",51.7,3.72
"2668",53,3.72
"2669",52.1,3.73
"2670",49.3,3.73
"2671",50,3.73
"2672",51.4,3.73
"2673",53.1,3.73
"2674",52.3,3.73
"2675",51.6,3.74
"2676",51.2,3.74
"2677",51.3,3.75
"2678",53.5,3.75
"2679",50.9,3.75
"2680",50.2,3.75
"2681",51.2,3.75
"2682",50.6,3.75
"2683",52.6,3.75
"2684",49.9,3.75
"2685",50.5,3.75
"2686",49.5,3.75
"2687",53,3.76
"2688",50.7,3.76
"2689",51.8,3.76
"2690",52,3.76
"2691",49.1,3.76
"2692",51.5,3.76
"2693",52.2,3.77
"2694",50.6,3.77
"2695",52.9,3.77
"2696",49.8,3.78
"2697",53.2,3.78
"2698",51.5,3.79
"2699",51.2,3.79
"2700",49.5,3.8
"2702",48.5,3.8
"2705",51,3.81
"2706",50.2,3.82
"2707",51,3.82
"2708",52.5,3.82
"2709",50.8,3.82
"2710",50.2,3.82
"2711",47.1,3.82
"2712",52.1,3.83
"2713",52.3,3.83
"2714",52,3.83
"2715",51,3.83
"2717",49,3.84
"2720",50.5,3.85
"2721",52.2,3.85
"2722",50,3.85
"2723",51.6,3.85
"2724",52,3.86
"2725",53,3.86
"2726",51.2,3.86
"2727",51.1,3.86
"2728",50.5,3.87
"2729",51,3.87
"2730",52.6,3.87
"2731",49.2,3.87
"2732",49.8,3.88
"2733",51.6,3.88
"2734",47.7,3.88
"2736",50.5,3.88
"2737",52.5,3.88
"2738",52.4,3.88
"2739",52,3.89
"2740",51.2,3.89
"2741",54.2,3.89
"2742",52.5,3.89
"2743",51.2,3.9
"2744",52,3.9
"2745",49.5,3.9
"2746",52,3.9
"2747",50.8,3.91
"2748",52.5,3.91
"2749",52,3.92
"2750",48.9,3.92
"2751",53.8,3.92
"2752",52.2,3.92
"2753",51.5,3.92
"2754",51.5,3.92
"2755",51.8,3.93
"2757",52.7,3.93
"2758",47.6,3.93
"2759",51.5,3.93
"2760",50.2,3.93
"2761",47.2,3.93
"2762",47.5,3.93
"2763",50.8,3.94
"2764",51.2,3.94
"2765",54,3.94
"2766",51,3.95
"2767",50.5,3.95
"2768",49.5,3.95
"2769",52,3.95
"2770",52.9,3.96
"2771",52.1,3.96
"2772",53.4,3.96
"2773",49.4,3.96
"2774",52.7,3.96
"2775",52.5,3.96
"2776",51.6,3.96
"2777",47.6,3.96
"2778",50,3.97
"2779",50.5,3.97
"2780",50.1,3.97
"2781",51.7,3.98
"2782",49.8,3.99
"2783",50.5,3.99
"2784",51.5,4
"2785",49,4
"2786",51.1,4
"2787",50.6,4
"2788",51.3,4.01
"2789",53,4.01
"2790",52.6,4.01
"2791",40.9,4.01
"2792",49,4.01
"2793",48.9,4.02
"2794",51,4.02
"2795",50.9,4.02
"2796",52,4.03
"2797",49.6,4.03
"2798",49.8,4.03
"2799",51.8,4.03
"2800",51.9,4.03
"2801",48.5,4.03
"2802",52.8,4.04
"2803",47,4.04
"2804",50.6,4.04
"2805",49.2,4.04
"2806",50.9,4.04
"2807",53.8,4.04
"2808",52.7,4.04
"2809",51,4.05
"2810",49.6,4.05
"2811",50,4.05
"2812",53.8,4.05
"2813",49.3,4.05
"2814",50.4,4.06
"2815",51,4.06
"2816",53.8,4.06
"2817",51,4.08
"2818",53,4.11
"2819",50.8,4.11
"2820",51,4.12
"2821",51,4.15
"2822",54,4.16
"2823",52,4.17
"2824",50.5,4.17
"2825",57,4.17
"2826",52,4.18
"2827",52.2,4.18
"2828",52.5,4.19
"2829",51,4.2
"2830",51.2,4.2
"2831",50.4,4.2
"2832",50,4.21
"2833",53.4,4.22
"2834",51,4.22
"2835",51.2,4.23
"2836",51.2,4.26
"2837",52.5,4.27
"2838",49.8,4.27
"2839",53,4.27
"2840",52.3,4.29
"2841",49.2,4.29
"2842",52.8,4.3
"2843",52.5,4.32
"2844",53,4.33
"2845",50.5,4.33
"2846",52.8,4.34
"2847",53.3,4.35
"2848",54,4.35
"2849",51.6,4.37
"2850",50.3,4.38
"2851",49.2,4.47
"2852",52,4.51
"2853",53,4.51
"2854",50.8,4.54
"2855",53.2,4.55
"2856",51.9,4.59
"2857",51,4.6
"2858",45.5,4.61
"2859",50.6,4.71
"2860",50.3,4.71
"2861",50,4.74
"2862",50.8,4.75
"2863",46,4.82
"2864",48.5,4.82
"2865",50.9,4.87
"2866",55,4.88
"2867",53,4.99
"2868",51.4,4.99
"2869",50,5
"2870",53.1,5.01
"2871",51,5.08
"2872",49.5,5.13
"2873",50,5.18
"2874",54,5.2
"2875",54.5,5.2
"2876",48,5.22
"2877",53.7,5.25
"2878",51.9,5.26
"2879",51,5.26
"2880",48.1,5.27
"2881",52.3,5.27
"2882",54.1,5.28
"2883",55,5.29
"2884",49.4,5.29
"2885",52.4,5.29
"2886",50.8,5.3
"2887",47.1,5.3
"2888",50.2,5.31
"2889",50.5,5.32
"2890",54.4,5.32
"2891",53,5.33
"2892",52.5,5.34
"2893",51.3,5.34
"2894",50.9,5.35
"2895",53.9,5.35
"2896",53,5.36
"2897",52.9,5.36
"2898",51.5,5.36
"2899",50.5,5.36
"2900",49.5,5.37
"2901",50.6,5.38
"2902",52.8,5.38
"2903",53,5.38
"2904",48.6,5.38
"2905",53.8,5.38
"2906",49,5.4
"2907",55.4,5.4
"2908",50,5.42
"2909",50.1,5.42
"2910",49.8,5.42
"2911",49.6,5.43
"2912",49,5.44
"2913",50.8,5.45
"2914",50.4,5.46
"2915",52,5.46
"2916",53.4,5.46
"2917",52.8,5.46
"2918",50.1,5.46
"2919",52,5.47
"2920",53,5.47
"2921",50.1,5.47
"2922",50.8,5.48
"2923",50.5,5.49
"2924",50.8,5.49
"2925",52.4,5.49
"2926",49.3,5.5
"2927",55.4,5.5
"2928",52.4,5.51
"2929",50.2,5.51
"2930",53.6,5.52
"2931",52.6,5.52
"2932",50,5.53
"2933",48.4,5.54
"2934",50.8,5.54
"2935",50.3,5.55
"2936",51.2,5.55
"2937",49.2,5.55
"2938",50.4,5.55
"2939",51,5.55
"2940",51.5,5.55
"2941",48.7,5.56
"2942",52,5.56
"2943",49.6,5.56
"2944",52.8,5.56
"2945",54,5.56
"2946",52.7,5.57
"2947",51.5,5.57
"2948",53.9,5.57
"2949",54,5.58
"2950",50.8,5.58
"2951",53,5.58
"2952",51,5.6
"2953",54.8,5.6
"2954",52,5.61
"2955",52.6,5.62
"2956",51.8,5.62
"2957",53.8,5.63
"2958",51.8,5.63
"2959",54.2,5.64
"2960",52.7,5.65
"2961",51.9,5.67
"2962",52,5.69
"2963",49.2,5.69
"2964",52.4,5.69
"2965",51.7,5.73
"2966",50.1,5.74
"2967",52.5,5.74
"2968",51.5,5.74
"2969",52.5,5.74
"2970",49.8,5.75
"2971",52.3,5.75
"2972",53.1,5.76
"2973",50.5,5.77
"2974",49.2,5.77
"2975",53.7,5.77
"2976",51,5.78
"2977",53.8,5.78
"2978",53,5.78
"2979",49.2,5.79
"2980",53,5.8
"2981",53.4,5.8
"2982",53.1,5.82
"2983",53,5.82
"2985",54.4,5.84
"2986",50.5,5.86
"2987",47.5,5.86
"2988",52,5.87
"2989",53.3,5.87
"2990",51,5.88
"2991",49.8,5.88
"2992",50.1,5.89
"2993",52.2,5.89
"2994",52.6,5.9
"2995",54.5,5.91
"2996",51.6,5.93
"2997",51.1,5.93
"2998",51.5,5.95
"2999",49.5,5.95
"3000",51.4,5.98
"3001",50.2,5.98
"3002",52.6,5.98
"3003",49.9,6
"3005",53.3,6.02
"3006",51.6,6.03
"3007",53,6.03
"3008",51.6,6.04
"3009",50.2,6.04
"3010",49,6.04
"3011",48,6.05
"3012",51,6.05
"3013",50,6.06
"3014",52.7,6.07
"3015",51.4,6.08
"3016",50.7,6.08
"3017",48.1,6.11
"3018",51.5,6.11
"3019",53.2,6.14
"3020",52.5,6.16
"3021",52.2,6.16
"3022",53.2,6.16
"3023",51.4,6.17
"3024",51,6.17
"3025",50.7,6.18
"3026",51.4,6.19
"3027",52.7,6.2
"3028",50,6.2
"3029",54,6.2
"3030",53.5,6.24
"3031",52.3,6.34
"3032",50.7,6.35
"3033",52.3,6.37
"3034",48.5,6.37
"3035",50.1,6.37
"3036",52,6.38
"3037",52.5,6.41
"3038",53.2,6.42
"3039",55.5,6.42
"3040",51.5,6.44
"3041",46.6,6.45
"3042",53.3,6.49
"3043",51,6.49
"3044",53.1,6.49
"3045",50.5,6.52
"3046",52,6.54
"3047",48.8,6.54
"3048",52.4,6.54
"3049",52.6,6.56
"3050",49.2,6.58
"3051",52.6,6.62
"3052",53.1,6.68
"3053",51.9,6.72
"3054",50.4,6.74
"3055",52.8,6.74
"3056",51,6.77
"3057",55.4,6.8
"3058",51.5,6.82
"3059",51,6.83
"3060",54.1,6.84
"3061",52.2,6.85
"3062",50.6,6.86
"3063",55.3,6.88
"3064",52.1,6.91
"3065",50.2,6.91
"3066",52.4,6.94
"3067",52.1,6.95
"3068",51.2,6.95
"3069",49.4,6.97
"3070",53,7.01
"3071",53.4,7.01
"3072",51,7.01
"3073",50,7.03
"3074",54.4,7.03
"3075",55,7.04
"3076",54.5,7.04
"3077",50.8,7.04
"3078",50.3,7.05
"3079",52.6,7.07
"3080",52.4,7.13
"3081",48.7,7.14
"3082",49.8,7.17
"3083",51,7.17
"3084",53.8,7.21
"3085",52,7.24
"3086",52,7.24
"3087",53,7.25
"3088",49.2,7.25
"3089",52,7.25
"3090",53,7.26
"3091",51.6,7.27
"3092",53.1,7.28
"3093",50.5,7.28
"3094",50.5,7.28
"3095",48.3,7.29
"3096",55,7.3
"3097",51.9,7.32
"3098",51,7.33
"3099",49.3,7.34
"3100",50.9,7.35
"3101",53.6,7.36
"3102",52.9,7.38
"3103",51.5,7.38
"3104",59.9,7.38
"3105",52.8,7.38
"3106",52.3,7.39
"3107",52.8,7.39
"3108",54,7.4
"3109",52,7.41
"3110",51.8,7.41
"3111",53.8,7.42
"3112",53,7.42
"3113",53.4,7.43
"3114",52.9,7.43
"3115",52.3,7.43
"3116",52.4,7.44
"3117",52.3,7.45
"3118",51.9,7.45
"3119",52,7.46
"3120",52.9,7.46
"3121",51,7.46
"3122",50.3,7.47
"3123",54,7.47
"3124",55.4,7.48
"3125",52.5,7.49
"3126",52.4,7.49
"3127",54.6,7.5
"3128",52.9,7.5
"3129",53.9,7.5
"3130",50.7,7.5
"3131",52.5,7.5
"3132",49.6,7.5
"3133",53.1,7.51
"3134",50.5,7.51
"3135",52.4,7.51
"3136",52.3,7.51
"3137",52.7,7.51
"3138",53.3,7.51
"3139",51.8,7.52
"3140",54.8,7.52
"3141",53,7.52
"3142",55.9,7.52
"3143",55.8,7.53
"3144",52.8,7.53
"3145",50.5,7.54
"3146",53,7.54
"3147",52.2,7.54
"3148",49.3,7.54
"3149",53,7.54
"3150",51.2,7.54
"3151",51.6,7.54
"3152",51.6,7.55
"3153",51.5,7.56
"3154",53.5,7.56
"3155",53.5,7.56
"3156",53,7.57
"3157",53,7.58
"3158",53.3,7.58
"3159",49,7.59
"3160",50.8,7.59
"3161",53.6,7.6
"3162",53.1,7.6
"3163",48.9,7.6
"3164",53.3,7.61
"3165",50,7.61
"3166",51.5,7.63
"3168",48.8,7.64
"3169",51,7.66
"3170",53,7.66
"3171",51.2,7.67
"3172",51.5,7.68
"3173",52.2,7.68
"3174",50.4,7.68
"3175",54.2,7.68
"3176",53,7.68
"3177",50.6,7.69
"3178",54.8,7.7
"3179",55.2,7.71
"3180",54.6,7.71
"3181",52.5,7.73
"3182",53.2,7.75
"3183",53,7.76
"3184",53.9,7.76
"3185",53,7.77
"3186",52,7.77
"3187",52.6,7.77
"3188",54.5,7.78
"3189",51.2,7.78
"3190",53.1,7.8
"3191",56.5,7.81
"3192",52,7.81
"3193",51.9,7.82
"3194",53.1,7.82
"3195",53.4,7.84
"3196",55.2,7.85
"3197",52.2,7.88
"3198",53.2,7.88
"3199",53.6,7.88
"3200",53,7.89
"3201",55.1,7.9
"3202",52.9,7.9
"3203",54.9,7.9
"3204",54.5,7.92
"3205",54,7.92
"3206",50,7.92
"3207",53.6,7.95
"3208",53.2,7.96
"3209",49.5,7.96
"3210",53.5,7.97
"3212",50.3,8.06
"3213",52.4,8.07
"3214",53.6,8.07
"3215",53.5,8.09
"3216",53,8.14
"3218",53,8.15
"3219",47.4,8.16
"3220",52.3,8.18
"3221",50.5,8.19
"3222",53.4,8.19
"3224",52.3,8.22
"3225",51.8,8.23
"3227",54.1,8.23
"3228",53.2,8.23
"3230",52.8,8.26
"3231",55,8.27
"3232",54.8,8.29
"3233",52.9,8.31
"3234",51.4,8.32
"3235",53.6,8.36
"3236",52.3,8.36
"3237",50.7,8.39
"3238",55.6,8.41
"3239",53.2,8.48
"3240",51.6,8.51
"3241",52.7,8.51
"3242",54,8.53
"3243",52,8.57
"3244",53.4,8.57
"3245",56,8.57
"3246",49,8.58
"3247",55.8,8.58
"3248",50.8,8.59
"3249",53.6,8.59
"3250",56,8.59
"3251",53.5,8.6
"3252",55,8.61
"3253",46.6,8.65
"3254",50,8.65
"3255",53.2,8.66
"3256",53,8.68
"3257",53,8.69
"3258",53.6,8.69
"3259",51.9,8.71
"3260",52.1,8.71
"3261",53.7,8.71
"3262",52.5,8.71
"3263",52.9,8.72
"3264",52.4,8.72
"3265",52.2,8.73
"3266",55.1,8.73
"3267",53.2,8.74
"3268",53,8.74
"3269",54.1,8.74
"3270",51,8.75
"3271",49,8.75
"3273",53.1,8.79
"3274",55.7,8.79
"3275",54.3,8.8
"3276",52.4,8.81
"3277",53.4,8.83
"3278",53.7,8.85
"3279",51.6,8.86
"3280",51,8.86
"3281",54.2,8.86
"3282",53.9,8.86
"3283",54.8,8.87
"3284",52,8.87
"3285",54.3,8.87
"3286",53.4,8.88
"3287",55.8,8.88
"3288",51.1,8.88
"3289",49.5,8.88
"3290",52.1,8.89
"3291",49.5,8.89
"3292",53.1,8.9
"3293",55,8.9
"3294",52.2,8.91
"3295",51.4,8.91
"3296",54.7,8.91
"3297",52.8,8.91
"3298",51.5,8.92
"3299",54.2,8.92
"3300",55.9,8.93
"3301",53.9,8.93
"3302",54.5,8.93
"3303",54.9,8.94
"3304",51,8.94
"3305",54,8.95
"3306",53.4,8.95
"3307",52.5,8.95
"3308",53,8.96
"3309",54.9,8.96
"3310",53.4,8.97
"3311",52,8.97
"3313",50.7,8.98
"3314",55.8,8.98
"3315",53.8,8.98
"3316",53,8.98
"3317",52,8.98
"3318",51.4,8.99
"3319",53,8.99
"3320",51.2,9
"3321",53.4,9
"3322",53.4,9
"3323",50.5,9
"3324",56,9
"3325",52.8,9.01
"3326",51.6,9.02
"3327",53.9,9.02
"3328",52.2,9.02
"3329",53.6,9.02
"3330",53,9.02
"3331",53.3,9.03
"3332",56.1,9.03
"3333",53.1,9.03
"3334",55,9.03
"3335",50.3,9.04
"3336",52.8,9.04
"3337",50.9,9.04
"3338",54.3,9.05
"3339",55.4,9.06
"3340",54.8,9.06
"3341",54,9.08
"3342",54.5,9.09
"3343",51.5,9.09
"3344",53.5,9.09
"3345",53.1,9.09
"3346",50.7,9.1
"3347",50.1,9.1
"3348",52.3,9.1
"3349",52.1,9.11
"3350",51.7,9.11
"3351",52,9.11
"3352",55.2,9.11
"3353",55.2,9.11
"3354",54.6,9.11
"3355",52,9.12
"3356",51.8,9.12
"3357",52.1,9.12
"3358",50,9.12
"3359",54.5,9.12
"3361",53.5,9.13
"3362",51,9.13
"3363",54.7,9.14
"3364",54,9.14
"3365",53.6,9.14
"3366",48,9.14
"3367",53.2,9.14
"3368",49.7,9.14
"3369",53.4,9.15
"3370",52.2,9.15
"3371",51.3,9.16
"3372",51.2,9.16
"3373",53.1,9.16
"3374",52.7,9.16
"3375",54,9.17
"3376",51.2,9.17
"3377",54,9.18
"3378",52,9.18
"3379",54,9.18
"3380",54.8,9.19
"3381",54.2,9.19
"3382",50.1,9.19
"3383",51.8,9.19
"3384",54.7,9.2
"3385",52.2,9.2
"3386",53,9.2
"3387",54.4,9.2
"3388",54.4,9.2
"3389",52.5,9.21
"3390",50.6,9.21
"3392",54.3,9.21
"3393",53.5,9.22
"3394",51,9.22
"3395",51.5,9.22
"3396",53.2,9.22
"3397",55.2,9.23
"3398",53,9.23
"3399",53,9.24
"3400",53,9.24
"3401",51.9,9.24
"3402",52.1,9.25
"3403",53.4,9.25
"3404",48.7,9.25
"3405",50.5,9.25
"3406",53.1,9.26
"3407",54.9,9.26
"3408",52.2,9.26
"3409",52.3,9.27
"3410",54.2,9.28
"3411",54,9.28
"3412",52,9.29
"3413",55.9,9.29
"3414",49.8,9.29
"3415",51.3,9.29
"3416",51.5,9.3
"3417",50.4,9.3
"3418",53.5,9.3
"3419",50.3,9.31
"3420",53.2,9.31
"3421",51,9.31
"3422",53.2,9.32
"3423",52.2,9.32
"3424",53.4,9.33
"3425",53,9.34
"3426",51.9,9.36
"3427",52.4,9.36
"3428",52.8,9.36
"3429",52.7,9.37
"3430",50,9.37
"3431",52.2,9.37
"3432",52.5,9.37
"3433",54.2,9.37
"3434",52.2,9.38
"3435",51.5,9.38
"3436",51.4,9.38
"3437",53.5,9.38
"3438",51,9.39
"3439",52.6,9.4
"3440",48.2,9.4
"3441",51.3,9.4
"3442",51.8,9.41
"3443",53.3,9.41
"3444",53.5,9.41
"3445",52.3,9.41
"3446",55.3,9.41
"3447",50.5,9.41
"3448",52.2,9.42
"3449",51.4,9.43
"3450",52.4,9.43
"3451",56.1,9.43
"3453",53,9.44
"3454",55.1,9.45
"3455",51.4,9.45
"3456",54.7,9.45
"3457",52.1,9.45
"3458",53.5,9.46
"3459",53.8,9.46
"3460",51.5,9.46
"3461",52.9,9.46
"3462",54.5,9.46
"3463",50.7,9.47
"3464",55,9.47
"3465",52.3,9.47
"3466",51.9,9.47
"3467",55,9.48
"3468",53,9.48
"3469",48.9,9.49
"3470",53.2,9.49
"3471",52.6,9.49
"3472",55,9.49
"3473",54.3,9.5
"3474",54.5,9.5
"3475",51.1,9.5
"3476",51.3,9.5
"3477",53.8,9.5
"3478",55,9.5
"3479",54.2,9.5
"3480",56.5,9.51
"3481",52.6,9.51
"3482",53.4,9.51
"3483",55.2,9.51
"3484",53.1,9.51
"3485",52,9.51
"3486",50.4,9.51
"3487",51.6,9.52
"3488",55,9.52
"3489",53.9,9.52
"3490",56.5,9.52
"3491",53,9.52
"3492",54.3,9.52
"3493",51,9.52
"3494",53.4,9.52
"3495",53,9.53
"3496",52.4,9.53
"3497",52,9.54
"3498",54.2,9.54
"3499",54,9.54
"3500",53.7,9.54
"3501",53.6,9.54
"3502",57.1,9.54
"3503",52,9.55
"3504",55.7,9.55
"3505",54,9.55
"3506",55.4,9.55
"3507",53.1,9.55
"3508",52.1,9.55
"3509",54.3,9.56
"3510",53.8,9.56
"3511",52.1,9.57
"3512",51.4,9.57
"3513",54,9.57
"3514",55,9.57
"3515",55,9.57
"3516",55.8,9.57
"3517",52.6,9.58
"3518",53.2,9.58
"3519",51.5,9.58
"3520",55.5,9.58
"3521",54.4,9.58
"3522",53.4,9.58
"3523",52.9,9.58
"3524",56,9.58
"3525",51,9.58
"3526",52.4,9.59
"3527",53.7,9.59
"3529",54,9.6
"3530",50.9,9.6
"3531",54,9.6
"3532",53.8,9.6
"3533",53,9.6
"3534",52,9.6
"3535",52.4,9.61
"3536",53.8,9.61
"3537",51.6,9.61
"3538",51,9.61
"3539",54,9.61
"3540",54.2,9.61
"3541",52.5,9.62
"3542",55.1,9.62
"3543",52.3,9.62
"3544",53.6,9.63
"3545",51.5,9.63
"3546",53.2,9.63
"3547",53,9.63
"3548",48.8,9.63
"3549",52.4,9.64
"3550",53.5,9.65
"3551",52.5,9.65
"3552",52.5,9.65
"3553",51,9.65
"3554",52.9,9.66
"3555",51.6,9.66
"3556",54.6,9.66
"3557",53.1,9.66
"3558",56.2,9.66
"3559",54.8,9.66
"3560",52.1,9.67
"3561",54.5,9.67
"3562",53.4,9.68
"3563",54.3,9.68
"3564",52,9.68
"3565",51,9.68
"3566",54,9.69
"3567",54.5,9.69
"3568",52.8,9.69
"3569",50.9,9.69
"3570",53.2,9.7
"3571",54.7,9.7
"3572",52.6,9.7
"3573",52.5,9.7
"3574",54.1,9.7
"3575",53.9,9.71
"3576",51,9.71
"3577",53.2,9.71
"3578",51.5,9.71
"3579",50.7,9.71
"3580",54.8,9.71
"3581",54.5,9.72
"3582",55.2,9.72
"3583",52.2,9.73
"3584",52.5,9.73
"3585",52.3,9.73
"3586",51.5,9.73
"3587",52,9.74
"3588",54.8,9.75
"3589",54.8,9.75
"3590",53,9.75
"3591",51.5,9.75
"3592",54.8,9.76
"3593",51.2,9.76
"3594",54.3,9.77
"3595",53.4,9.77
"3596",55.8,9.77
"3597",55.8,9.78
"3598",51.8,9.79
"3599",55.5,9.79
"3600",52.7,9.8
"3601",55.1,9.8
"3602",51.8,9.8
"3603",55,9.81
"3604",52,9.81
"3605",52.4,9.81
"3606",53,9.82
"3607",52,9.83
"3608",55.2,9.83
"3609",53.4,9.83
"3610",54,9.83
"3611",54.6,9.84
"3612",54.6,9.84
"3613",57.7,9.85
"3614",55.7,9.85
"3615",54.2,9.85
"3616",52.6,9.85
"3617",52.1,9.85
"3618",53.2,9.85
"3619",53.4,9.85
"3620",55.2,9.86
"3621",55.3,9.86
"3622",54,9.86
"3623",55.5,9.86
"3624",53.4,9.87
"3625",53.3,9.87
"3626",53.4,9.88
"3627",51.5,9.88
"3628",53.4,9.88
"3629",52.6,9.88
"3630",53.2,9.88
"3631",53,9.89
"3632",53.8,9.9
"3633",50.8,9.91
"3634",58.9,9.91
"3635",53,9.91
"3636",53.9,9.92
"3637",52.2,9.92
"3638",52.3,9.92
"3640",57.6,9.94
"3641",53.6,9.95
"3642",53.1,9.95
"3644",56.1,9.96
"3645",54.5,9.96
"3646",52.4,9.96
"3647",54,9.97
"3648",47.7,9.98
"3649",55.1,9.99
"3650",53.2,9.99
"3651",53.7,9.99
"3652",50.6,9.99
"3653",55.5,9.99
"3654",55,10
"3655",49.9,10
"3656",53,10
"3657",53.4,10
"3658",50.6,10
"3659",51.7,10
"3660",56,10
"3661",53.3,10.01
"3662",50.6,10.01
"3663",52.4,10.02
"3664",54.1,10.02
"3665",54.5,10.02
"3666",55,10.02
"3667",55.1,10.02
"3669",53.7,10.03
"3670",51.4,10.03
"3671",56,10.03
"3672",52.2,10.03
"3674",55.9,10.03
"3675",54.3,10.03
"3676",54.1,10.04
"3677",48.3,10.04
"3678",54.7,10.04
"3679",54.2,10.05
"3680",53.7,10.05
"3681",55.8,10.05
"3682",50,10.06
"3683",53.4,10.07
"3684",47.6,10.07
"3685",54,10.07
"3686",52.5,10.07
"3687",52.9,10.07
"3688",52.1,10.07
"3689",54.5,10.07
"3690",54,10.08
"3691",50.8,10.08
"3692",54.6,10.08
"3693",52.2,10.09
"3694",53,10.1
"3695",53,10.1
"3696",53,10.1
"3697",54.2,10.11
"3698",54.8,10.11
"3699",50.7,10.11
"3700",53.5,10.12
"3701",55.9,10.12
"3702",53.5,10.12
"3703",54.8,10.12
"3704",54.1,10.12
"3705",52.2,10.13
"3706",54.4,10.13
"3707",53.1,10.13
"3708",55.3,10.13
"3709",54,10.13
"3710",50.1,10.13
"3711",51.6,10.14
"3712",50.6,10.14
"3713",50.8,10.14
"3714",51.6,10.14
"3715",52.9,10.14
"3716",52.8,10.14
"3717",53,10.14
"3718",52.3,10.14
"3719",55.3,10.15
"3720",55,10.15
"3721",51.5,10.15
"3722",56.1,10.16
"3723",54.7,10.16
"3724",52.4,10.16
"3725",46.4,10.17
"3726",55,10.17
"3727",53,10.17
"3728",53.5,10.17
"3729",56.2,10.17
"3730",53.4,10.17
"3731",53.7,10.17
"3732",53.5,10.17
"3733",56.1,10.17
"3734",57.3,10.18
"3735",51.3,10.18
"3736",53,10.19
"3737",54.9,10.19
"3738",52.4,10.19
"3739",51.5,10.2
"3740",51.1,10.2
"3741",53.3,10.2
"3742",53.2,10.21
"3743",53.1,10.21
"3744",50.9,10.21
"3745",52.6,10.22
"3746",54.9,10.22
"3747",54,10.22
"3748",53,10.22
"3749",53,10.22
"3750",52,10.23
"3751",54.1,10.23
"3752",54.4,10.24
"3753",51.2,10.24
"3754",53.6,10.24
"3755",51.5,10.25
"3756",54.9,10.25
"3757",54,10.25
"3758",54,10.25
"3759",55,10.25
"3760",52,10.25
"3761",50.4,10.26
"3762",50.4,10.26
"3763",53.8,10.26
"3764",55.8,10.26
"3765",53.6,10.26
"3766",53.8,10.27
"3767",53.6,10.28
"3768",53,10.28
"3769",57.8,10.28
"3770",55.6,10.28
"3771",52,10.28
"3772",53.3,10.28
"3773",53,10.29
"3774",51.5,10.29
"3775",55.2,10.3
"3776",53.9,10.31
"3777",54.4,10.31
"3778",53.5,10.31
"3779",53.3,10.31
"3780",55,10.31
"3781",51.4,10.32
"3782",52.4,10.32
"3783",53.8,10.32
"3784",54.3,10.32
"3785",51.7,10.32
"3786",54,10.33
"3787",52.1,10.33
"3788",52.1,10.33
"3789",55,10.34
"3790",53.5,10.34
"3791",54.8,10.35
"3792",56,10.36
"3793",54.6,10.36
"3794",57.2,10.37
"3795",52.9,10.37
"3796",54.3,10.37
"3797",52.2,10.38
"3798",51.7,10.38
"3799",55.4,10.38
"3800",54.3,10.39
"3801",52.9,10.39
"3802",51.3,10.39
"3803",54.5,10.4
"3804",50.3,10.4
"3805",51,10.4
"3806",53,10.4
"3807",49.4,10.41
"3808",52.9,10.41
"3809",54.3,10.41
"3810",53.8,10.41
"3811",54.9,10.41
"3812",51.1,10.42
"3813",54.9,10.42
"3814",54.2,10.42
"3815",53.7,10.42
"3816",52.5,10.43
"3817",53.5,10.43
"3818",52,10.43
"3819",52.4,10.43
"3820",50.3,10.43
"3821",52.8,10.44
"3822",54,10.44
"3823",54.5,10.44
"3824",51.3,10.44
"3825",51,10.44
"3826",52.1,10.45
"3827",55.7,10.45
"3828",54,10.45
"3829",52.5,10.46
"3830",53.7,10.46
"3831",51.9,10.46
"3832",54.8,10.47
"3833",53.5,10.48
"3834",53,10.48
"3835",54,10.48
"3836",50.7,10.48
"3838",54.6,10.48
"3839",52.5,10.49
"3840",51.3,10.5
"3841",54.4,10.5
"3842",54.8,10.5
"3843",52.5,10.5
"3844",55.3,10.5
"3845",54.5,10.51
"3846",54.7,10.51
"3847",52.7,10.51
"3848",52.8,10.51
"3849",54.1,10.51
"3850",52,10.51
"3851",56.4,10.51
"3852",56.4,10.51
"3853",50.8,10.51
"3854",56.1,10.52
"3855",56,10.52
"3856",51.5,10.52
"3857",56.9,10.54
"3858",53.3,10.54
"3859",53.5,10.54
"3860",53,10.54
"3861",52,10.54
"3862",52.8,10.55
"3863",55,10.55
"3864",54.5,10.55
"3865",53,10.55
"3866",52.8,10.55
"3867",52.9,10.56
"3868",54.5,10.56
"3869",51.6,10.56
"3870",54,10.56
"3871",52,10.56
"3872",50.6,10.56
"3873",54.4,10.57
"3874",53.9,10.57
"3875",53.3,10.57
"3876",52.2,10.57
